Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount
172786;-11.88111789;10.07178497;-9.834783457;-2.066655685;-5.364472781;-2.606837331;-4.918215431;7.305334021;1.914428273;4.356170413;-1.593105262;2.711940791;-0.689255609;4.626942025;-0.924458715;1.107640601;1.991691107;0.510632329;-0.68291968;1.475829135;0.213454108;0.111863736;1.014479897;-0.509348453;1.436806907;0.25003428;0.943651172;0.823730961;0.77
172787;-0.732788671;-0.05508049;2.035029745;-0.738588584;0.868229399;1.058415272;0.024329696;0.294868699;0.584800017;-0.975926063;-0.150188847;0.915801914;1.214755848;-0.675142956;1.164930909;-0.71175735;-0.025692855;-1.221178858;-1.545556086;0.0596159;0.214205342;0.924383585;0.012463038;-1.016225669;-0.606623986;-0.395255066;0.06847247;-0.053527389;24.79
172788;1.91956501;-0.301253846;-3.249639814;-0.557828125;2.63051512;3.031260098;-0.296826527;0.708417185;0.432454048;-0.484781756;0.411613737;0.063118863;-0.183698688;-0.510601844;1.329283513;0.140715982;0.313501787;0.395652479;-0.577251843;0.00139597;0.232045036;0.57822901;-0.037500855;0.640133881;0.265745453;-0.087370596;0.004454772;-0.026560829;67.88
172788;-0.24044005;0.530482513;0.70251023;0.689799168;-0.377961134;0.623707722;-0.686179986;0.67914546;0.392086712;-0.399125651;-1.933848815;-0.962886143;-1.042081656;0.449624443;1.962563121;-0.608577127;0.50992846;1.11398059;2.897848773;0.127433516;0.265244916;0.800048741;-0.163297944;0.123205244;-0.569158864;0.546668462;0.108820735;0.104532821;10
172792;-0.533412522;-0.189733337;0.703337367;-0.50627124;-0.012545679;-0.649616686;1.577006254;-0.414650408;0.486179505;-0.915426649;-1.040458335;-0.031513054;-0.188092901;-0.08431647;0.041333455;-0.302620086;-0.660376645;0.167429934;-0.256116871;0.382948105;0.261057331;0.643078438;0.376777014;0.008797379;-0.473648704;-0.818267121;-0.002415309;0.013648914;217
406;-2.312226542;1.951992011;-1.609850732;3.997905588;-0.522187865;-1.426545319;-2.537387306;1.391657248;-2.770089277;-2.772272145;3.202033207;-2.899907388;-0.595221881;-4.289253782;0.38972412;-1.14074718;-2.830055675;-0.016822468;0.416955705;0.126910559;0.517232371;-0.035049369;-0.465211076;0.320198199;0.044519167;0.177839798;0.261145003;-0.143275875;0
472;-3.043540624;-3.157307121;1.08846278;2.288643618;1.35980513;-1.064822523;0.325574266;-0.067793653;-0.270952836;-0.838586565;-0.414575448;-0.50314086;0.676501545;-1.692028933;2.000634839;0.666779696;0.599717414;1.725321007;0.28334483;2.102338793;0.661695925;0.435477209;1.375965743;-0.293803153;0.279798032;-0.145361715;-0.252773123;0.035764225;529
4462;-2.303349568;1.75924746;-0.359744743;2.330243051;-0.821628328;-0.075787571;0.562319782;-0.399146578;-0.238253368;-1.525411627;2.032912158;-6.560124295;0.022937323;-1.470101536;-0.698826069;-2.282193829;-4.781830856;-2.615664945;-1.334441067;-0.430021867;-0.294166318;-0.932391057;0.172726296;-0.087329538;-0.156114265;-0.542627889;0.039565989;-0.153028797;239.93
6986;-4.397974442;1.358367028;-2.592844218;2.679786967;-1.128130942;-1.706536388;-3.496197293;-0.248777743;-0.247767899;-4.801637406;4.895844223;-10.91281932;0.184371686;-6.771096725;-0.007326183;-7.358083221;-12.59841854;-5.131548628;0.308333946;-0.171607879;0.573574068;0.176967718;-0.436206884;-0.053501865;0.252405262;-0.657487755;-0.827135715;0.84957338;59
7519;1.234235046;3.019740421;-4.304596885;4.73279513;3.624200831;-1.357745663;1.713444988;-0.496358487;-1.28285782;-2.447469255;2.101343865;-4.609628391;1.464377625;-6.079337193;-0.339237373;2.581850954;6.739384385;3.042493178;-2.721853122;0.009060836;-0.379068307;-0.704181032;-0.656804756;-1.632652957;1.488901448;0.566797273;-0.010016223;0.146792735;1
7526;0.008430365;4.137836835;-6.240696572;6.675732163;0.768307025;-3.353059548;-1.631734673;0.154612448;-2.795892464;-6.18789063;5.664394709;-9.854484823;-0.306166658;-10.69119621;-0.638498193;-2.041973791;-1.129055877;0.116452521;-1.934665739;0.488378221;0.36451421;-0.608057134;-0.539527942;0.128939983;1.48848121;0.507962678;0.735821636;0.513573741;1
7535;0.026779226;4.132463897;-6.560599968;6.348556673;1.329665669;-2.513478848;-1.6891022;0.303252801;-3.139409057;-6.045467798;6.754625448;-8.948178579;0.702724998;-10.7338541;-1.379519857;-1.638960115;-1.746350136;0.776744098;-1.327356635;0.587743219;0.370508651;-0.576752473;-0.669605372;-0.75990753;1.60505555;0.540675396;0.737040382;0.496699108;1
7543;0.329594333;3.712889295;-5.775935108;6.078265506;1.667359013;-2.420168414;-0.812891249;0.133080118;-2.214311312;-5.134454471;4.560720106;-8.873748362;-0.7974836;-9.17716637;-0.257024775;-0.87168849;1.313013629;0.773913873;-2.370599451;0.269772776;0.156617169;-0.652450441;-0.551572219;-0.716521635;1.415716615;0.55526474;0.530507389;0.404474055;1
